score,sum,avg,min,max,"15,16","17,18","19,20","21,22","23,24","25,26","27,28","29,30","31,32","33,34","35,36",difference,squared,sum,variance
21,3364,24.55474453,15,32,1,2,3,8,12,14,8,6,4,0,0,-3.55474453,12.63620867,1771.84,13.02823529
23,,24.55474453,,,2,5,4,14,14,16,17,6,1,0,0,-1.55474453,2.417230554,,
19,,24.55474453,,,,,,,,,,,,,,-5.55474453,30.85518679,,
27,,24.55474453,,,,,,,,,,,,,,2.44525547,5.979274314,,
24,,24.55474453,,,,,,,,,,,,,,-0.55474453,0.307741494,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
23,,24.55474453,,,,,,,,,,,,,,-1.55474453,2.417230554,,
19,,24.55474453,,,,,,,,,,,,,,-5.55474453,30.85518679,,
26,,24.55474453,,,,,,,,,,,,,,1.44525547,2.088763374,,
22,,24.55474453,,,,,,,,,,,,,,-2.55474453,6.526719614,,
16,,24.55474453,,,,,,,,,,,,,,-8.55474453,73.18365397,,
24,,24.55474453,,,,,,,,,,,,,,-0.55474453,0.307741494,,
21,,24.55474453,,,,,,,,,,,,,,-3.55474453,12.63620867,,
26,,24.55474453,,,,,,,,,,,,,,1.44525547,2.088763374,,
21,,24.55474453,,,,,,,,,,,,,,-3.55474453,12.63620867,,
20,,24.55474453,,,,,,,,,,,,,,-4.55474453,20.74569773,,
25,,24.55474453,,,,,,,,,,,,,,0.44525547,0.198252434,,
23,,24.55474453,,,,,,,,,,,,,,-1.55474453,2.417230554,,
22,,24.55474453,,,,,,,,,,,,,,-2.55474453,6.526719614,,
25,,24.55474453,,,,,,,,,,,,,,0.44525547,0.198252434,,
17,,24.55474453,,,,,,,,,,,,,,-7.55474453,57.07416491,,
21,,24.55474453,,,,,,,,,,,,,,-3.55474453,12.63620867,,
21,,24.55474453,,,,,,,,,,,,,,-3.55474453,12.63620867,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
24,,24.55474453,,,,,,,,,,,,,,-0.55474453,0.307741494,,
15,,24.55474453,,,,,,,,,,,,,,-9.55474453,91.29314303,,
23,,24.55474453,,,,,,,,,,,,,,-1.55474453,2.417230554,,
23,,24.55474453,,,,,,,,,,,,,,-1.55474453,2.417230554,,
23,,24.55474453,,,,,,,,,,,,,,-1.55474453,2.417230554,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
22,,24.55474453,,,,,,,,,,,,,,-2.55474453,6.526719614,,
24,,24.55474453,,,,,,,,,,,,,,-0.55474453,0.307741494,,
23,,24.55474453,,,,,,,,,,,,,,-1.55474453,2.417230554,,
31,,24.55474453,,,,,,,,,,,,,,6.44525547,41.54131807,,
17,,24.55474453,,,,,,,,,,,,,,-7.55474453,57.07416491,,
25,,24.55474453,,,,,,,,,,,,,,0.44525547,0.198252434,,
16,,24.55474453,,,,,,,,,,,,,,-8.55474453,73.18365397,,
31,,24.55474453,,,,,,,,,,,,,,6.44525547,41.54131807,,
18,,24.55474453,,,,,,,,,,,,,,-6.55474453,42.96467585,,
26,,24.55474453,,,,,,,,,,,,,,1.44525547,2.088763374,,
22,,24.55474453,,,,,,,,,,,,,,-2.55474453,6.526719614,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
24,,24.55474453,,,,,,,,,,,,,,-0.55474453,0.307741494,,
18,,24.55474453,,,,,,,,,,,,,,-6.55474453,42.96467585,,
24,,24.55474453,,,,,,,,,,,,,,-0.55474453,0.307741494,,
22,,24.55474453,,,,,,,,,,,,,,-2.55474453,6.526719614,,
24,,24.55474453,,,,,,,,,,,,,,-0.55474453,0.307741494,,
30,,24.55474453,,,,,,,,,,,,,,5.44525547,29.65080713,,
25,,24.55474453,,,,,,,,,,,,,,0.44525547,0.198252434,,
18,,24.55474453,,,,,,,,,,,,,,-6.55474453,42.96467585,,
26,,24.55474453,,,,,,,,,,,,,,1.44525547,2.088763374,,
19,,24.55474453,,,,,,,,,,,,,,-5.55474453,30.85518679,,
25,,24.55474453,,,,,,,,,,,,,,0.44525547,0.198252434,,
18,,24.55474453,,,,,,,,,,,,,,-6.55474453,42.96467585,,
26,,24.55474453,,,,,,,,,,,,,,1.44525547,2.088763374,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
24,,24.55474453,,,,,,,,,,,,,,-0.55474453,0.307741494,,
25,,24.55474453,,,,,,,,,,,,,,0.44525547,0.198252434,,
21,,24.55474453,,,,,,,,,,,,,,-3.55474453,12.63620867,,
22,,24.55474453,,,,,,,,,,,,,,-2.55474453,6.526719614,,
26,,24.55474453,,,,,,,,,,,,,,1.44525547,2.088763374,,
22,,24.55474453,,,,,,,,,,,,,,-2.55474453,6.526719614,,
23,,24.55474453,,,,,,,,,,,,,,-1.55474453,2.417230554,,
25,,24.55474453,,,,,,,,,,,,,,0.44525547,0.198252434,,
25,,24.55474453,,,,,,,,,,,,,,0.44525547,0.198252434,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
22,,24.55474453,,,,,,,,,,,,,,-2.55474453,6.526719614,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
31,,24.55474453,,,,,,,,,,,,,,6.44525547,41.54131807,,
22,,24.55474453,,,,,,,,,,,,,,-2.55474453,6.526719614,,
18,,24.55474453,,,,,,,,,,,,,,-6.55474453,42.96467585,,
30,,24.55474453,,,,,,,,,,,,,,5.44525547,29.65080713,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
26,,24.55474453,,,,,,,,,,,,,,1.44525547,2.088763374,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
22,,24.55474453,,,,,,,,,,,,,,-2.55474453,6.526719614,,
27,,24.55474453,,,,,,,,,,,,,,2.44525547,5.979274314,,
24,,24.55474453,,,,,,,,,,,,,,-0.55474453,0.307741494,,
26,,24.55474453,,,,,,,,,,,,,,1.44525547,2.088763374,,
28,,24.55474453,,,,,,,,,,,,,,3.44525547,11.86978525,,
24,,24.55474453,,,,,,,,,,,,,,-0.55474453,0.307741494,,
20,,24.55474453,,,,,,,,,,,,,,-4.55474453,20.74569773,,
